ID,Dealer Name
1,Excel Agencies
2,Evergreen Pesticides Group
3,United Krishi
4,Star Traders
5,Shiv Suppliers LLP
6,Moon Khet International
7,Shri Agencies
8,Sri Kisaan Pvt Ltd
9,Global Farms LLP
10,Durga Products Pvt Ltd
11,Royal Mills Group
12,Sai Distributors & Sons
13,Shree Farms International
14,Excel Traders
15,Modern Suppliers
16,Balaji Solutions LLP
17,United Suppliers Pvt Ltd
18,Bright Khet
19,Agro Crops
20,Silver Nursery Ltd
21,Jai Agro & Co
22,Sun Kisaan
23,Baba Vikas
24,United Vikas Ltd
25,Moon Bhandar Ltd
26,Organic Organics
27,Silver Organics & Co
28,Excel Distributors
29,Prime Agencies
30,Laxmi Plantations
31,Silver Products & Co
32,Maa Vikas & Co
33,Durga Gardens Ltd
34,Star Bhandar Ltd
35,Eco Pesticides
36,Laxmi Herbals & Sons
37,New Krishi & Co
38,Super Krishi
39,Metro Sadan & Sons
40,Om Estates & Sons
41,Shri Udyog International
42,Tirupati Gardens LLP
43,Excel Solutions LLP
44,Sri Vikas
45,United Traders & Co
46,Shree Herbals
47,Noble Plantations Ltd
48,Royal Organics & Co
49,Green Corporation & Sons
50,Evergreen Industries & Co
51,Tirupati Distributors Group
52,Elite Products International
53,National Distributors & Co
54,Metro Khet LLP
55,Royal Vikas & Co
56,Jai Distributors Pvt Ltd
57,Noble Herbals Group
58,Green Vikas
59,Sai Corporation Ltd
60,Balaji Products
61,Tirupati Agencies Ltd
62,Elite Bhandar LLP
63,Green Products
64,Sun Mills
65,Shiv Farms Pvt Ltd
66,Royal Solutions
67,Krishna Plantations
68,Supreme Mills
69,Excel Enterprises & Sons
70,Tirupati Khet & Co
71,Bio Krishi & Co
72,Ram Fertilizers & Sons
73,Shri Crops
74,Ganesh Nursery
75,Star Vikas Ltd
76,United Fertilizers Pvt Ltd
77,United Corporation International
78,Ganesh Bhandar
79,Super Khet Group
80,Diamond Agencies Group
81,Silver Distributors & Co
82,New Solutions LLP
83,Reliance Products
84,Silver Seeds Pvt Ltd
85,New Nursery Pvt Ltd
86,Balaji Corporation Group
87,Maa Bhandar Pvt Ltd
88,Farm Herbals
89,Noble Crops
90,Krishna Khet
91,Perfect Bhandar Group
92,Royal Crops Ltd
93,Sri Traders
94,Evergreen Organics
95,Shree Industries & Co
96,United Mills Group
97,Super Nursery
98,Global Products
99,Agro Khet International
100,Sai Distributors Group